Frac_Year,Global,Land,Ocean
2009.792, -0.62, -0.58, -0.61
2009.875, -0.19, 0.35, -0.23
2009.958, 0.23, 0.82, 0.11
2010.042, 0.14, -1.39, 0.47
2010.125, -0.36, -0.49, -0.27
2010.208, -1.01, -2.06, -0.60
2010.292, -0.44, -1.10, -0.31
2010.375, -1.32, -2.62, -0.91
2010.458, 0.70, -0.47, 1.11
2010.542, 0.36, 0.03, 0.44
2010.625, 0.09, -1.33, 0.53
2010.708, 1.12, -0.47, 1.58
2010.792, -0.38, -1.44, -0.09
2010.875, 0.18, -0.47, 0.32
2010.958, 1.08, -0.67, 1.65
2011.042, 1.92, 0.18, 2.36
2011.125, 0.02, 0.14, -0.02
2011.208, 0.65, -0.69, 0.97
2011.292, 1.11, -0.45, 1.59
2011.375, 0.36, -1.36, 0.97
2011.458, 0.49, -0.71, 1.00
2011.542, -0.43, -1.11, -0.12
2011.625, 0.34, -0.65, 0.76
2011.708, 0.10, -1.57, 0.63
2011.792, 0.32, 0.02, 0.52
2011.875, 0.10, -1.52, 0.79
2011.958, 0.69, -1.80, 1.52
2012.042, 1.07, -0.28, 1.44
2012.125, 0.71, 0.29, 0.84
2012.208, 0.37, -0.54, 0.64
2012.292, 1.17, 0.42, 1.41
2012.375, 0.30, -0.97, 0.70
2012.458, 0.58, -0.57, 1.04
2012.542, 0.63, -0.13, 0.95
2012.625, 0.23, -1.85, 0.92
2012.708, 0.11, -0.66, 0.42
2012.792, 0.05, -0.72, 0.45
2012.875, 0.74, 0.87, 0.71
2012.958, 0.77, 1.02, 0.71
2013.042, 0.54, -0.62, 0.90
2013.125, -1.13, -1.32, -1.04
2013.208, 0.64, -0.37, 0.97
2013.292, 0.25, -1.60, 0.91
2013.375, 0.26, -1.89, 0.95
2013.458, 0.94, -0.37, 1.42
2013.542, 0.36, 0.03, 0.48
2013.625, -0.12, -0.66, 0.12
2013.708, -0.10, -1.66, 0.47
2013.792, 0.01, -1.09, 0.40
2013.875, 0.66, 0.07, 0.69
2013.958, -0.17, -1.55, 0.27
2014.042, 0.17, -1.40, 0.66
2014.125, -0.81, -2.93, 0.03
2014.208, -0.30, -1.13, 0.14
2014.292, 0.17, -0.31, 0.33
2014.375, -0.48, -1.27, -0.19
2014.458, -0.36, -3.07, 0.63
